title,OEM,OEM Number,Description,Product Availability
PCB WH I/F MDL AMPLIFIER,AMAT ,0100-00223,"AMAT PCB WH I/F MDL AMPLIFIER (original OEM packaging, sealed)",In Stock
ASSY 24V 60W XP PSU,AMAT ,9090-00033,"AMAT Assy 24V 60W XP PSU (original OEM packaging, sealed)",In Stock
Hollow Gripper Assy GR 200 ITL,AMAT ,0010-99113,AMAT Hollow Gripper Assy 200MM ITL (NEW),In Stock
Elevator Drive Assy,Varian ,E11035771,Elevator Drive Assy for E500,In Stock
330 Ionization Gauge Controller,Axcelis,,330 Ionization Gauge Controller,In Stock
Centrifugal Pump,Price Pump,HP75CN,Centrifugal Pump HP75CN Series,In Stock
Varian 850A CCIG Gauge,Varian ,E23000001,Varian 850A CCIG Gauge for E500,In Stock
Cable Assy,Varian ,E16030733,Cable Assy for E500,In Stock
REV 3 PCB Assy Interface,Varian ,E15001820,REV 3 PCB Assy Interface for E500,In Stock
Ball Screw Elevator Drive,Varian ,E17046640,Ball Screw Elevator Drive for E500,In Stock
Optical Encoden Assy,Varian ,E19002300,Optical Encoden Assy for E500 / Visiion,In Stock
R-V PCB Three Port Loop Master,Varian ,E15005380,R-V PCB Three Port Loop Master for E500,In Stock
Analog Control PCB Vision,Varian ,E15002593,Analog Control PCB Vision for E500 / Visiion,In Stock
R.L-PCB Assy Dual Port Loop Master,Varian ,E15000041,R.L-PCB Assy Dual Port Loop Master for E500,In Stock
PCB Assy Light Link Interconnect,Varian ,104854001,PCB Assy Light Link Interconnect for E500,In Stock
X PCB Assy M Control,Varian ,E15000204,X PCB Assy M Control for E500,In Stock
PCB Motion Control BD,Varian ,E15000208,PCB Motion Control BD for E500,In Stock
Motor Lift Assy Roplat,Varian ,E11304631,Motor Lift Assy Roplat for E500,In Stock
Pitman Motor,Varian ,E12000810,Pitman Motor for E500 / Visiion,In Stock
PCB Assy Control BD Multi Vac,Varian ,E15002390,PCB Assy Control BD Multi Vac for E500,In Stock
Transducer Assy Pressure 3000,Varian ,E11514620,Transducer Assy Pressure 3000 for E500,In Stock
PCB Assy Wafer Orienter Amplifier,Varian ,E15004310,PCB Assy Wafer Orienter Amplifier for E500,In Stock
PCB Assy M.Conta/L,Varian ,E15000400,PCB Assy M.Conta/L for E500,In Stock
R2 PCB Assy RS232 MUX,Varian ,E15001980,R2 PCB Assy RS232 MUX for E500,In Stock
PCB Assy Exhaust Leaker Monitor,Varian ,E15002030,PCB Assy Exhaust Leaker Monitor for E500,In Stock
Harness Esserv Linear,Varian ,E16001062,Harness Esserv Linear for E500,In Stock
Harness Linear Motion Servu,Varian ,E16001063,Harness Linear Motion Servu for E500,In Stock
PCB Assy Digital I/O,Varian ,E15000031,PCB Assy Digital I/O for E500,In Stock
PCB Assy Motion Controller,Varian ,E15000201,PCB Assy Motion Controller for E500,In Stock
PCB Assy Terminal Controller,Varian ,E15004390,PCB Assy Terminal Controller for E500,In Stock
PCB Assy Motion Controller,Varian ,E15000204,PCB Assy Motion Controller for E500,In Stock
PCB Sub Assy Dose Controller,Varian ,112321003 REV J,PCB Sub Assy Dose Controller for E500,In Stock
Plasma Flood Supply,Varian ,E19002721,Plasma Flood Supply,In Stock
50V Specific Silicon Pro Visiion,Varian ,E19007540,50V Specific Silicon Pro Visiion,In Stock
Ecoderassy Vision OBS,Varian ,E11076820 REV A,Ecoderassy Vision OBS,In Stock
PO Supply 300 Watts,Varian ,E21000106,PO Supply 300 Watts,In Stock
PCB Assy RDAC,Varian ,10354003 REV 4,PCB Assy RDAC for E500,In Stock
Top Assy DCP88I 512K 4 Port PCB,Varian ,PT1010258-04M,Top Assy DCP88I 512K 4 Port PCB ,In Stock
Belt Drive Orienter Storage Assy,Varian ,E11001621,Belt Drive Orienter Storage Assy for E500,In Stock
LS-120 Floppy Drive,Varian ,LS120,LS-120 Floppy Drive,In Stock
Gauge Nude,Varian ,E37000094,Gauge Nude for for Visiion / E500,In Stock
Pfeiffer Turbo Pump Controller 750,Varian ,E2300307,Pfeiffer Turbo Pump Controller 750 for E500 / Visiion,In Stock
Pfeiffer TPS-201,Pfeiffer,,Pfeiffer TPS-201 for E500 / Visiion,In Stock
Koll Morgan Carriage Motor,Varian ,E19006050,Koll Morgan Carriage Motor for Visiion,In Stock
X Site Assy 200mm,Varian ,112212002,X Site Assy 200mm for Visiion,In Stock
Glassman P.S PS/MK30P 025,Varian ,E22000005,Glassman P.S PS/MK30P 025 for E500,In Stock
Assy 200mm S.I Multi,Varian ,E11007224,Assy 200mm S.I Multi for Visiion,In Stock
Motor Scan Activator,Varian ,E12002190,Motor Scan Activator ,In Stock
REV E Orienter Lift Assy,Varian ,E11001622,REV E Orienter Lift Assy for E500,In Stock
R-1 Supression PSU,Varian ,E19002171,R-1 Supression PSU for Visiion,In Stock
